Nonterminal,ID,LPAREN,RPAREN,LLLAVE,RETURN,RLLAVE,COMA,void,FIN,ASIGNACION,MAIN,NUMBER,MENOR,MAYOR,MENORIGUAL,MAYORIGUAL,IGUAL,DIFERENTE,PLUS,MINUS,TIMES,DIVIDE,OP,CALL,IF,WHILE,FOR,PLUSPLUS,MINUSMINUS,T_BOOLEAN,T_INTEGER,T_CHARACTER,T_STRING,T_FLOAT,CARACTER,FLOAT,STRING,TRUE,FALSE,COMMENT,newline,$
Program,no,no,no,no,no,no,no,Program1Mas MainClass,no,no,Program1Mas MainClass,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,Program1Mas MainClass,Program1Mas MainClass,Program1Mas MainClass,Program1Mas MainClass,Program1Mas MainClass,no,no,no,no,no,no,no,Program1Mas MainClass
Program1,no,no,no,no,no,no,no,VoidDeclaration,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,FuncDeclaration,FuncDeclaration,FuncDeclaration,FuncDeclaration,FuncDeclaration,no,no,no,no,no,no,no,no
Program1Mas,no,no,no,no,no,no,no,Program1 Newline Program1Mas,no,no,e,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,Program1 Newline Program1Mas,Program1 Newline Program1Mas,Program1 Newline Program1Mas,Program1 Newline Program1Mas,Program1 Newline Program1Mas,no,no,no,no,no,no,no,no
FuncDeclaration,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,Type ID LPAREN Declaration1 RPAREN LLLAVE Coment Newline BodyMas RETURN ReturnValue Coment Newline RLLAVE Coment Newline,Type ID LPAREN Declaration1 RPAREN LLLAVE Coment Newline BodyMas RETURN ReturnValue Coment Newline RLLAVE Coment Newline,Type ID LPAREN Declaration1 RPAREN LLLAVE Coment Newline BodyMas RETURN ReturnValue Coment Newline RLLAVE Coment Newline,Type ID LPAREN Declaration1 RPAREN LLLAVE Coment Newline BodyMas RETURN ReturnValue Coment Newline RLLAVE Coment Newline,Type ID LPAREN Declaration1 RPAREN LLLAVE Coment Newline BodyMas RETURN ReturnValue Coment Newline RLLAVE Coment Newline,no,no,no,no,no,no,no,no
Declaration1,no,no,e,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,Type ID Declaration2,Type ID Declaration2,Type ID Declaration2,Type ID Declaration2,Type ID Declaration2,no,no,no,no,no,no,no,no
Declaration2,no,no,e,no,no,no,COMA Type ID Declaration2,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
VoidDeclaration,no,no,no,no,no,no,no,void ID LPAREN Declaration1 RPAREN LLLAVE Coment Newline BodyMas RLLAVE Coment Newline,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Body,Statement FIN Coment Newline,Operation FIN Coment Newline,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,Operation FIN Coment Newline,Call FIN Coment Newline,StructureControl,StructureControl,StructureControl,no,no,Statement FIN Coment Newline,Statement FIN Coment Newline,Statement FIN Coment Newline,Statement FIN Coment Newline,Statement FIN Coment Newline,no,no,no,no,no,no,no,no
BodyMas,Body BodyMas,Body BodyMas,no,no,e,e,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,Body BodyMas,Body BodyMas,Body BodyMas,Body BodyMas,Body BodyMas,no,no,Body BodyMas,Body BodyMas,Body BodyMas,Body BodyMas,Body BodyMas,no,no,no,no,no,no,no,e
Statement,Statement2,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,Statement1,Statement1,Statement1,Statement1,Statement1,no,no,no,no,no,no,no,no
